IAUNAME,SOURCEID,VARID,FIELDID,CUEVENTID,RA2000,DEC2000,CEPHTYPE,CEPHSUBTYPE,CEPHMODE,PERIOD,YNEPOCHS,YMEANMAG,YMAGERR,YAMPL,YAMPLERR,JNEPOCHS,JMEANMAG,JMAGERR,JAMPL,JAMPLERR,KSNEPOCHS,KSMEANMAG,KSMAGERR,KSAMPL,KSAMPLERR,NOTES,ORIGVSAREL,ORIGVSASOURCEID,CATALOGUE,EXTERNALID
VMC J051616.06-694336.87,558355365714.0,8330.0,LMC_6_4,871.0,79.06691666666669,-69.72691666666668,T2CEP,'RV Tau',NONE,50.18656921386719,,,,,,4.0,13.899999618530273,0.10999999940395355,0.7799999713897705,,14.0,13.501999855041504,0.032999999821186066,0.7400000095367432,,NONE,VMCv20130805,558355554309.0,OGLE-IV,OGLE-LMC-T2CEP-075
VMC J051647.43-694415.04,558355371883.0,8326.0,LMC_6_4,871.0,79.19762500000003,-69.73752777777776,T2CEP,'RV Tau',NONE,40.916412353515625,,,,,,4.0,13.956999778747559,0.027000000700354576,0.4399999976158142,,14.0,13.253000259399414,0.04699999839067459,0.41999998688697815,,NONE,VMCv20130805,558355560379.0,OGLE-IV,OGLE-LMC-T2CEP-080
VMC J051835.72-694545.65,558355380988.0,8308.0,LMC_6_4,871.0,79.64883333333334,-69.76269444444445,T2CEP,'BL Her',NONE,1.1672979593276978,,,,,,11.0,17.71500015258789,0.017999999225139618,0.4000000059604645,,23.0,17.479000091552734,0.0430000014603138,0.3199999928474426,,NONE,VMCv20130805,558355569068.0,OGLE-IV,OGLE-LMC-T2CEP-089
VMC J050628.86-694358.75,558355425376.0,8314.0,LMC_6_4,871.0,76.62025,-69.733,T2CEP,'W  Vir',NONE,13.270099639892578,,,,,,4.0,15.454999923706055,0.029999999329447746,0.30000001192092896,,14.0,14.835000038146973,0.013000000268220901,0.28999999165534973,,NONE,VMCv20130805,558355611443.0,OGLE-IV,OGLE-LMC-T2CEP-044
VMC J051659.00-695119.25,558355450899.0,8329.0,LMC_6_4,871.0,79.24579166666668,-69.85536111111111,T2CEP,'pW Vir',NONE,5.967649936676025,,,,,,4.0,15.935999870300293,0.05400000140070915,0.47999998927116394,,14.0,15.461999893188477,0.010999999940395355,0.46000000834465027,,NONE,VMCv20130805,558355634988.0,OGLE-IV,OGLE-LMC-T2CEP-083
VMC J051343.86-695041.03,558355459120.0,8334.0,LMC_6_4,871.0,78.43275,-69.84474999999999,T2CEP,'W  Vir',NONE,6.924580097198486,,,,,,4.0,16.040000915527344,0.023000000044703484,0.14000000059604645,,14.0,15.57699966430664,0.01600000075995922,0.12999999523162842,,NONE,VMCv20130805,558355642907.0,OGLE-IV,OGLE-LMC-T2CEP-063
VMC J051711.14-695833.07,558355526820.0,8380.0,LMC_6_4,871.0,79.29645833333333,-69.9758611111111,ACEP,NONE,F,0.7342979907989502,,,,,,,,,,,14.0,17.18600082397461,0.02199999988079071,0.25999999046325684,,NONE,VMCv20130805,558355708277.0,OGLE-IV,OGLE-LMC-ACEP-034
VMC J050600.43-695514.61,558355547282.0,8332.0,LMC_6_4,871.0,76.50183333333332,-69.92072222222222,T2CEP,'W  Vir',NONE,6.559426784515381,,,,,,4.0,,,,,14.0,,,,,NONE,VMCv20130805,558355727258.0,OGLE-IV,OGLE-LMC-T2CEP-043
VMC J050959.34-695828.69,558355557131.0,8324.0,LMC_6_4,871.0,77.49725000000001,-69.97463888888889,T2CEP,'pW Vir',NONE,4.687924861907959,,,,,,4.0,16.0310001373291,0.017999999225139618,0.14000000059604645,,14.0,15.741000175476074,0.02199999988079071,0.12999999523162842,,NONE,VMCv20130805,558355737497.0,OGLE-IV,OGLE-LMC-T2CEP-052
VMC J051707.51-692734.08,558355616602.0,8312.0,LMC_6_4,871.0,79.28125,-69.45947222222222,T2CEP,'BL Her',NONE,1.770840048789978,,,,,,1.0,,,,,8.0,,,,,NONE,VMCv20130805,558355790121.0,OGLE-IV,OGLE-LMC-T2CEP-084
